Name,Primary_Type,Secondary_Type,Generation,HOG_1541,HOG_1736,HOG_1848,HOG_1869,HOG_1872,HOG_1991,HOG_1998,HOG_1999,HOG_2005,HOG_2011
Malamar,Dark,Psychic,6.0,0.0,0.5398790743191282,0.0714897056438176,0.23064414562076,0.434826350529376,0.0,0.463064958729503,0.0391003748447119,0.2107225902105655,0.4938718751425231
Gothita,Psychic,,5.0,0.0,0.3833935256071711,0.0608958415875254,0.0261060133150933,0.0,0.2156178618308181,0.0212709771141913,0.0,0.0,0.0
Deoxys,Psychic,,3.0,0.0,0.2411413376492452,0.0,0.2947530341736606,0.0,0.0,0.0,0.0,0.0,0.0
Staraptor,Normal,Flying,4.0,0.0,0.5607825730822145,0.45470362872875,0.5651549340518327,0.4091368623812318,0.3728598246839736,0.1150803837083021,0.4159581421145755,0.4521011767004368,0.0
Mismagius,Ghost,,4.0,0.0,0.1689926401121545,0.4306859128835301,0.1093360245005319,0.4081024379306844,0.0,0.8191470603320641,0.0,0.2738458041850236,0.0
Bounsweet,Grass,,7.0,0.0,0.2889811631491538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Houndour,Dark,Fire,2.0,0.0,0.3850853583714366,0.097975465972841,0.4869605947799112,0.4038082117745878,0.1610963783709651,0.0,0.0,0.0,0.4365661857152341
Spiritomb,Ghost,Dark,4.0,0.0,0.3216453567313161,0.0217357328420533,0.3584375113272314,0.5092819216287195,0.0274423452698897,0.0853946259803509,0.018036317063468,0.061378420051718,0.0
Gastrodon,Water,Ground,4.0,0.0,0.077290794823883,0.2458161828532618,0.4057492922703894,0.1586468917160943,0.0739044541202355,0.0240473780312106,0.0699002850316206,0.0565490964707114,0.4703062010382982
Revavroom,Steel,Poison,9.0,0.0,0.4364512749786441,0.4972141736584999,0.5147432082400271,0.3751239336091195,0.0588367486828629,0.3001313314655468,0.0589170525795708,0.0,0.0
Elgyem,Psychic,,5.0,0.0,0.5098672130244859,0.0909447112838707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golduck,Water,,1.0,0.0,0.6216954874334524,0.0,0.3346247479632155,0.4259629933411223,0.0,0.2364606680968156,0.4605882738452128,0.4071839575221849,0.1236984651128113
