Name,Primary_Type,Secondary_Type,Generation,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Height(m),Weight(kg),Image URL,Attack_Defense_Ratio,SpAtk_SpDef_Ratio,Speed_Avg_Ratio,Physical_Total,Special_Total,Offensive_Total,Defensive_Total,Stat_StdDev,Stat_Range,Highest_Stat_Percentage,Top_Two_Stat_Difference,Physical_Bulk,Special_Bulk,Survivability_Index,Offensive_Potential,BMI,Weight_Height_Ratio,Size_Class,Relative_Power,Type_Rarity,Speed_Tier,RGB_Mean,RGB_Std,RGB_Max,RGB_Min,LBP_Mean,LBP_Std,LBP_Max,LBP_Min,CNN_Mean,CNN_Std,CNN_Max,CNN_Min
Malamar,Dark,Psychic,6.0,86,92,88,68,75,73,482,1.5,47.0,https://img.pokemondb.net/sprites/home/normal/2x/malamar.jpg,1.0454545454545454,0.9066666666666666,0.8924205378973106,266,143,160,163,9.605553948974867,24,0.1908713692946058,-4.0,7568,6450,82.79690996426531,77.00871324347428,20.88888888888889,31.333333333333332,Medium,6.680526680526682,0.9666666666666668,Average,0.001953125,0.033942707,0.76719666,0.0,0.1111111111051502,0.1055567902709539,0.2768240343199128,0.0069742489266644,1.0695407,2.2498567,27.549461,0.0
Gothita,Psychic,,5.0,45,30,50,55,65,45,290,0.4,5.8,https://img.pokemondb.net/sprites/home/normal/2x/gothita.jpg,0.6,0.8461538461538461,0.9183673469387756,125,120,85,115,11.69045194450012,35,0.2241379310344827,-10.0,2250,2925,52.68641215148155,42.0305899598308,36.24999999999999,14.499999999999998,Small,4.102733986788004,0.9338842975206612,Slow,0.001953125,0.036953438,0.83592224,0.0,0.1111111111052723,0.1136282174230013,0.3573305307221581,0.0147136100885594,1.530026,3.83073,36.587578,0.0
Deoxys,Psychic,,3.0,50,150,50,150,50,150,600,1.7,60.8,https://img.pokemondb.net/sprites/home/normal/2x/deoxys.jpg,3.0,3.0,1.6666666666666667,250,200,300,100,54.772255750516614,100,0.25,0.0,2500,2500,49.999999999999986,149.99999999999997,21.038062283737027,35.76470588235294,Medium,8.819959541469993,0.9541284403669724,Very Fast,0.001953125,0.036501095,0.82611084,0.0,0.1111111111058551,0.1043754824783353,0.2961210974315931,0.0108798486276783,1.4767764,3.4020596,44.122414,0.0
Staraptor,Normal,Flying,4.0,85,120,70,50,60,100,485,1.2,24.9,https://img.pokemondb.net/sprites/home/normal/2x/staraptor.jpg,1.7142857142857142,0.8333333333333334,1.2987012987012987,275,110,170,130,26.156579796805747,70,0.2474226804123711,-20.0,5950,5100,70.93970944750708,84.3432665301749,17.291666666666668,20.75,Medium,6.567708333333333,0.956043956043956,Very Fast,0.001953125,0.030234024,0.6759949,0.0,0.11111111110738,0.1086070358833063,0.3549361987792164,0.0117528542642124,1.8587053,3.7697322,37.181084,0.0
Mismagius,Ghost,,4.0,60,60,60,105,105,105,495,0.9,4.4,https://img.pokemondb.net/sprites/home/normal/2x/mismagius.jpg,1.0,1.0,1.3461538461538465,180,210,165,165,24.647515087732476,45,0.2121212121212121,0.0,3600,6300,72.30426792525688,87.13178600345555,5.432098765432099,4.888888888888889,Small,6.703124999999999,0.978021978021978,Very Fast,0.001953125,0.03445442,0.77815247,0.0,0.1111111111053778,0.1047473032311807,0.2905056759396023,0.0077399380800959,1.4814467,3.1456246,27.804092,0.0
Bounsweet,Grass,,7.0,42,30,38,30,38,32,210,0.3,3.2,https://img.pokemondb.net/sprites/home/normal/2x/bounsweet.jpg,0.7894736842105263,0.7894736842105263,0.898876404494382,110,68,60,76,5.019960159204453,12,0.2,-4.0,1596,1596,39.289107302379385,30.65237729574212,35.55555555555556,10.666666666666668,Small,2.8108391837805917,0.9411764705882352,Very Slow,0.001953125,0.031173678,0.6998596,0.0,0.1111111111057486,0.1160160405767212,0.3445945945779636,0.0072393822390328,1.4680802,3.7695842,42.134144,0.0
Houndour,Dark,Fire,2.0,45,60,30,80,50,65,330,0.6,10.8,https://img.pokemondb.net/sprites/home/normal/2x/houndour.jpg,2.0,1.6,1.2264150943396226,135,130,140,80,17.320508075688775,50,0.2424242424242424,-15.0,1350,2250,40.71626424892359,67.82422886028331,30.000000000000004,18.000000000000004,Small,4.8781660307063675,0.975609756097561,Average,0.001953125,0.033564564,0.75053406,0.0,0.1111111111061263,0.1087160432725253,0.3064154329158181,0.0098698968142723,1.8452523,3.6919143,35.490185,0.0
Spiritomb,Ghost,Dark,4.0,50,92,108,92,108,35,485,1.0,108.0,https://img.pokemondb.net/sprites/home/normal/2x/spiritomb.jpg,0.8518518518518519,0.8518518518518519,0.3888888888888889,250,200,184,216,30.909006238743213,73,0.222680412371134,0.0,5400,5400,83.54859900503,66.6624441770088,108.0,108.0,Large,6.567708333333333,0.989010989010989,Very Slow,0.001953125,0.025732754,0.5413971,0.0,0.1111111111075361,0.105883289635024,0.3111325611225504,0.0080437580434992,1.1499333,3.1437232,40.120186,0.0
Gastrodon,Water,Ground,4.0,111,83,68,92,82,39,475,0.9,29.9,https://img.pokemondb.net/sprites/home/normal/2x/gastrodon.jpg,1.2205882352941178,1.1219512195121952,0.4472477064220183,262,174,175,150,24.24389957631954,72,0.2336842105263158,-19.0,7548,9102,85.22138368682536,66.77955318605895,36.913580246913575,33.22222222222222,Medium,6.432291666666666,0.989010989010989,Very Slow,0.001953125,0.02986287,0.66970825,0.0,0.111111111106399,0.1098985955514851,0.3176420695369957,0.0110262934685739,1.9025574,3.7660542,35.18909,0.0
Revavroom,Steel,Poison,9.0,80,119,90,54,67,90,500,1.8,120.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/revavroom.png,1.3222222222222222,0.8059701492537313,1.0975609756097562,289,121,173,157,22.35769815223979,65,0.238,-29.0,7200,5360,78.42763152090926,83.31587189698998,37.03703703703704,66.66666666666667,Large,6.516657615753311,0.9891304347826086,Fast,0.001953125,0.03684206,0.8324127,0.0,0.1111111110962168,0.1188803828621186,0.3739946380195718,0.0040214477206405,1.0128285,2.258268,23.6335,0.0
Elgyem,Psychic,,5.0,55,55,55,85,55,30,335,0.5,9.0,https://img.pokemondb.net/sprites/home/normal/2x/elgyem.jpg,1.0,1.5454545454545454,0.4918032786885246,165,140,140,110,17.440374613713626,55,0.2537313432835821,-30.0,3025,3025,54.999999999999986,51.955830342285715,36.0,18.0,Small,4.739365122668901,0.9338842975206612,Very Slow,0.001953125,0.034451745,0.7778168,0.0,0.1111111111054306,0.1144544886748048,0.3629856850530171,0.0107361963184695,1.664046,3.6525488,45.025715,0.0
Golduck,Water,,1.0,80,82,78,95,80,85,500,1.7,76.6,https://img.pokemondb.net/sprites/home/normal/2x/golduck.jpg,1.051282051282051,1.1875,1.0240963855421688,240,175,177,158,6.186005711819758,17,0.19,-10.0,6240,6400,79.32769930723097,87.16031566869472,26.505190311418687,45.05882352941176,Medium,7.329344292842502,0.8728813559322034,Fast,0.001953125,0.032793205,0.739563,0.0,0.1111111111052477,0.1046934936955321,0.3087071239942635,0.0073878627964439,1.4468156,3.2690983,32.439003,0.0
Cleffa,Fairy,,2.0,50,25,28,45,55,15,218,0.3,3.0,https://img.pokemondb.net/sprites/home/normal/2x/cleffa.jpg,0.8928571428571429,0.8181818181818182,0.3694581280788177,103,100,70,83,15.895492023421818,40,0.2522935779816513,-5.0,1400,2750,42.543208651150046,25.64963920015045,33.333333333333336,10.0,Small,3.2225460445272365,0.975609756097561,Very Slow,0.001953125,0.02808038,0.62031555,0.0,0.1111111111069119,0.1414002082767663,0.462585033996123,0.0060468631894918,1.5997565,3.274672,37.231262,0.0
Dialga,Steel,Dragon,4.0,100,120,120,150,100,90,680,5.4,683.0,https://img.pokemondb.net/sprites/home/normal/2x/dialga.jpg,1.0,1.5,0.7627118644067796,340,250,270,220,21.602468994692867,60,0.2205882352941176,-30.0,12000,10000,106.26585691826108,117.44602923506588,23.42249657064471,126.48148148148148,Large,9.208333333333332,0.989010989010989,Fast,0.001953125,0.031077882,0.7011261,0.0,0.111111111107909,0.1048316517577853,0.318155619587373,0.0152737752156981,1.5621912,3.1287198,33.42018,0.0
Furfrou,Normal,,6.0,75,80,60,65,90,102,472,1.2,28.0,https://img.pokemondb.net/sprites/home/normal/2x/furfrou.jpg,1.3333333333333333,0.7222222222222222,1.3783783783783785,215,155,145,150,15.641824275533423,42,0.2161016949152542,-12.0,4500,6750,73.98636222991408,80.94707715018114,19.444444444444446,23.333333333333336,Medium,6.541926541926543,0.9666666666666668,Very Fast,0.001953125,0.03463404,0.7792206,0.0,0.1111111111057068,0.1146749022509241,0.3818093385028303,0.0092412451357372,1.1836417,2.5242517,27.545835,0.0
Swablu,Normal,Flying,3.0,45,40,60,40,75,50,310,0.4,1.2,https://img.pokemondb.net/sprites/home/normal/2x/swablu.jpg,0.6666666666666666,0.5333333333333333,0.9615384615384616,145,115,80,135,13.662601021279466,35,0.2419354838709677,-15.0,2700,3375,58.72301461753294,43.088693800637664,7.499999999999998,2.9999999999999996,Small,4.556979096426163,0.9724770642201834,Slow,0.001953125,0.0389393,0.8811188,0.0,0.111111111102911,0.1178591142168341,0.3402214021889135,0.0051660516601353,1.2026279,2.9485948,33.612316,0.0
Skarmory,Steel,Flying,2.0,65,80,140,40,70,70,465,1.7,50.5,https://img.pokemondb.net/sprites/home/normal/2x/skarmory.jpg,0.5714285714285714,0.5714285714285714,0.8860759493670886,285,110,120,210,33.42902930089356,100,0.3010752688172043,-60.0,9100,4550,86.04252448951647,60.73177943751324,17.474048442906575,29.705882352941178,Medium,6.8737794069044265,0.9878048780487804,Average,0.001953125,0.035403326,0.80007935,0.0,0.1111111111051946,0.0982597657407899,0.2795527156400664,0.0127795527149744,1.3734664,2.9846373,32.11101,0.0
Raging Bolt,Electric,Dragon,9.0,125,73,91,137,89,75,590,5.2,480.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/raging-bolt.png,0.8021978021978022,1.5393258426966292,0.7281553398058253,289,226,210,180,26.583202716502512,64,0.2322033898305084,-12.0,11375,11125,100.41081004009916,90.8590580749828,17.751479289940825,92.3076923076923,Large,7.689655986588907,0.9891304347826086,Average,0.001953125,0.037664093,0.85276794,0.0,0.1111111110955056,0.1177514860054737,0.3749999999473314,0.0056179775273008,1.5669059,2.9818354,28.554302,0.0
Lurantis,Grass,,7.0,70,105,90,80,90,45,480,0.9,18.5,https://img.pokemondb.net/sprites/home/normal/2x/lurantis.jpg,1.1666666666666667,0.8888888888888888,0.5172413793103449,265,170,185,180,20.73644135332772,60,0.21875,-15.0,6300,6300,82.7677252914336,72.30426792525688,22.839506172839503,20.555555555555554,Small,6.424775277212781,0.9411764705882352,Slow,0.001953125,0.03485048,0.7877197,0.0,0.1111111111055332,0.1125632913548796,0.3237951807066367,0.006526104417343,1.194027,2.8000565,31.997564,0.0
Archaludon,Steel,Dragon,9.0,90,105,130,125,65,85,600,2.0,60.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/archaludon.png,0.8076923076923077,1.9230769230769231,0.8252427184466019,325,190,230,195,24.899799195977465,65,0.2166666666666666,-5.0,11700,5850,91.27806105144288,103.71448438408876,15.0,30.0,Medium,7.819989138903973,0.9891304347826086,Fast,0.001953125,0.033608846,0.75753784,0.0,0.1111111111004478,0.1207237701835426,0.3397312859558798,0.0028790786945413,1.899133,3.212997,23.52517,0.0
